film_id,title,actor_id,actor_full_name,num_actors_per_film,num_films_per_actor
1,ACADEMY DINOSAUR,1,penelope guiness,10,19
23,ANACONDA CONFESSIONS,1,penelope guiness,5,19
25,ANGELS LIFE,1,penelope guiness,9,19
106,BULWORTH COMMANDMENTS,1,penelope guiness,4,19
140,CHEAPER CLYDE,1,penelope guiness,2,19
166,COLOR PHILADELPHIA,1,penelope guiness,7,19
277,ELEPHANT TROJAN,1,penelope guiness,5,19
361,GLEAMING JAWBREAKER,1,penelope guiness,8,19
438,HUMAN GRAFFITI,1,penelope guiness,4,19
499,KING EVOLUTION,1,penelope guiness,6,19
506,LADY STAGE,1,penelope guiness,8,19
509,LANGUAGE COWBOY,1,penelope guiness,6,19
605,MULHOLLAND BEAST,1,penelope guiness,6,19
635,OKLAHOMA JUMANJI,1,penelope guiness,9,19
749,RULES HUMAN,1,penelope guiness,5,19
832,SPLASH GUMP,1,penelope guiness,10,19
939,VERTIGO NORTHWEST,1,penelope guiness,4,19
970,WESTWARD SEABISCUIT,1,penelope guiness,6,19
980,WIZARD COLDBLOODED,1,penelope guiness,9,19
3,ADAPTATION HOLES,2,nick wahlberg,5,25
31,APACHE DIVINE,2,nick wahlberg,4,25
47,BABY HALL,2,nick wahlberg,8,25
105,BULL SHAWSHANK,2,nick wahlberg,8,25
132,CHAINSAW UPTOWN,2,nick wahlberg,2,25
145,CHISUM BEHAVIOR,2,nick wahlberg,4,25
226,DESTINY SATURDAY,2,nick wahlberg,7,25
249,DRACULA CRYSTAL,2,nick wahlberg,13,25
314,FIGHT JAWBREAKER,2,nick wahlberg,3,25
321,FLASH WARS,2,nick wahlberg,7,25
357,GILBERT PELICAN,2,nick wahlberg,4,25
369,GOODFELLAS SALUTE,2,nick wahlberg,8,25
399,HAPPINESS UNITED,2,nick wahlberg,5,25
458,INDIAN LOVE,2,nick wahlberg,10,25
481,JEKYLL FROGMEN,2,nick wahlberg,3,25
485,JERSEY SASSY,2,nick wahlberg,9,25
518,LIAISONS SWEET,2,nick wahlberg,6,25
540,LUCKY FLYING,2,nick wahlberg,10,25
550,MAGUIRE APACHE,2,nick wahlberg,4,25
555,MALLRATS UNITED,2,nick wahlberg,5,25
561,MASK PEACH,2,nick wahlberg,11,25
742,ROOF CHAMPION,2,nick wahlberg,5,25
754,RUSHMORE MERMAID,2,nick wahlberg,7,25
811,SMILE EARRING,2,nick wahlberg,8,25
